Data,Migraine,Betulaceae,Urticaceae,Ambrosia,Fraxinus excelsior/ornus,UniLesson,,,,,,
03/04/2017,0,"8,64",0,0,"4,32",0,,,,,,
04/04/2017,0,"22,08","2,88",0,"12,48",0,,,,,,
05/04/2017,0,"7,68","1,92",0,"0,48",3,,,,,,
06/04/2017,0,"7,68","1,92",0,0,3,,,,,,
07/04/2017,0,"2,4","11,04",0,"2,4",0,,,,,,
08/04/2017,0,"4,32","7,2",0,"2,4",0,,,,,,
09/04/2017,0,"3,84","15,36",0,"4,8",0,,,,,,
10/04/2017,0,0,"3,36",0,"1,92",0,,,,,,
11/04/2017,0,"4,32","15,36",0,0,0,,,,,,
12/04/2017,0,0,"5,76",0,"1,92",0,,,,,,
13/04/2017,0,"0,96","2,4",0,"1,92",0,,,,,,
14/04/2017,0,0,"4,32",0,"0,96",0,,,,,,
15/04/2017,0,"0,48","2,4",0,"0,96",0,,,,,,
16/04/2017,0,"0,48",,0,"0,96",0,,,,,,
17/04/2017,0,0,"2,88",0,0,0,,,,,,
18/04/2017,0,"0,48","2,88",0,"0,96",0,,,,,,
19/04/2017,0,"0,48","0,48",0,0,0,,,,,,
20/04/2017,0,0,"0,96",0,"2,4",0,,,,,,
21/04/2017,0,0,"0,96",0,"0,48",0,,,,,,
22/04/2017,0,0,"0,48",0,"0,48",0,,,,,,
23/04/2017,0,0,"0,96",0,0,0,,,,,,
24/04/2017,0,0,"1,44",0,"2,4",0,,,,,,
25/04/2017,1,0,"2,4",0,"0,48",0,,,,,,
26/04/2017,0,0,0,0,0,0,,,,,,
27/04/2017,0,0,0,0,0,2,,,,,,
28/04/2017,0,0,0,0,"0,48",0,,,,,,
29/04/2017,0,0,"0,48",0,0,0,,,,,,
30/04/2017,0,0,"0,96",0,"0,48",0,,,,,,
01/05/2017,0,0,2,0,0,0,,,,,,
02/05/2017,0,0,0,0,0,0,,,,,,
03/05/2017,0,0,0,0,0,0,,,,,,
04/05/2017,0,0,10,0,0,0,,,,,,
05/05/2017,0,0,8,0,0,1,,,,,,
06/05/2017,0,0,4,0,0,0,,,,,,
07/05/2017,0,0,4,0,0,0,,,,,,
08/05/2017,0,0,15,0,0,0,,,,,,
09/05/2017,0,0,0,0,0,2,,,,,,
10/05/2017,0,0,0,0,0,5,,,,,,
11/05/2017,0,0,1,0,0,3,,,,,,
12/05/2017,0,0,0,0,0,0,,,,,,
13/05/2017,0,0,8,0,0,0,,,,,,
14/05/2017,0,0,0,0,0,0,,,,,,
15/05/2017,1,0,"0,48",0,0,2,,,,,,
16/05/2017,0,0,"0,96",0,0,2,,,,,,
17/05/2017,0,0,"2,4",0,0,5,,,,,,
18/05/2017,0,0,"2,88",0,0,3,,,,,,
19/05/2017,0,0,"0,48",0,0,0,,,,,,
20/05/2017,0,0,0,0,0,0,,,,,,
21/05/2017,0,0,"2,88",0,0,0,,,,,,
22/05/2017,0,0,"0,96",0,0,2,,,,,,
23/05/2017,0,0,"2,4",0,0,2,,,,,,
24/05/2017,0,"0,48","2,4",0,0,4,,,,,,
25/05/2017,0,0,"1,92",0,0,6,,,,,,
26/05/2017,0,0,"6,72",0,0,0,,,,,,
27/05/2017,0,"0,96","3,36",0,0,0,,,,,,
28/05/2017,0,"0,96","2,4",0,0,0,,,,,,
29/05/2017,0,0,"2,4",0,0,1,,,,,,
30/05/2017,0,0,"2,4",0,0,2,,,,,,
31/05/2017,0,0,"1,92",0,0,4,,,,,,
01/06/2017,0,0,0,0,0,6,,,,,,
02/06/2017,0,0,"1,92",0,0,0,,,,,,
03/06/2017,0,0,"3,36",0,0,0,,,,,,
04/06/2017,0,0,"0,96",0,0,0,,,,,,
05/06/2017,0,0,"2,88",0,0,2,,,,,,
06/06/2017,0,0,"2,4",0,0,2,,,,,,
07/06/2017,0,0,"0,48",0,0,5,,,,,,
08/06/2017,0,"0,96","1,44",0,0,6,,,,,,
09/06/2017,0,0,"1,44",0,0,0,,,,,,
10/06/2017,0,0,0,0,0,0,,,,,,
11/06/2017,0,0,0,0,0,0,,,,,,
12/06/2017,0,0,"2,4",0,0,3,,,,,,
13/06/2017,0,0,"2,4",0,0,2,,,,,,
14/06/2017,0,0,"5,76",0,0,5,,,,,,
15/06/2017,0,0,0,0,0,5,,,,,,
16/06/2017,0,0,"0,48",0,0,0,,,,,,
17/06/2017,1,"0,96","1,92",0,0,0,,,,,,
18/06/2017,0,"0,48",0,0,0,0,,,,,,
19/06/2017,0,0,6,0,0,0,,,,,,
20/06/2017,0,0,5,0,0,0,,,,,,
21/06/2017,0,0,3,0,0,3,,,,,,
22/06/2017,0,0,0,0,0,3,,,,,,
23/06/2017,1,0,5,0,0,0,,,,,,
24/06/2017,0,0,1,0,0,0,,,,,,
25/06/2017,0,0,1,0,0,0,,,,,,
26/06/2017,0,0,0,0,0,2,,,,,,
27/06/2017,0,0,0,0,0,0,,,,,,
28/06/2017,1,0,0,0,0,0,,,,,,
29/06/2017,0,0,"0,48",0,0,0,,,,,,
30/06/2017,0,0,0,0,0,0,,,,,,
01/07/2017,0,0,0,0,0,0,,,,,,
02/07/2017,0,0,"0,48",0,0,0,,,,,,
03/07/2017,1,0,0,0,0,1,,,,,,
04/07/2017,0,0,1,0,0,0,,,,,,
05/07/2017,0,0,2,0,0,0,,,,,,
06/07/2017,0,0,2,0,0,0,,,,,,
07/07/2017,0,0,0,0,0,0,,,,,,
08/07/2017,1,0,2,0,0,0,,,,,,
09/07/2017,0,0,0,0,0,0,,,,,,
10/07/2017,0,0,0,0,0,2,,,,,,
11/07/2017,0,0,0,0,0,0,,,,,,
12/07/2017,1,0,9,0,0,0,,,,,,
13/07/2017,0,0,7,0,0,0,,,,,,
14/07/2017,0,0,9,0,0,0,,,,,,
15/07/2017,0,0,8,0,0,0,,,,,,
16/07/2017,0,0,5,0,0,0,,,,,,
17/07/2017,0,0,"0,48",0,0,0,,,,,,
18/07/2017,0,0,"0,48",0,0,0,,,,,,
19/07/2017,0,0,0,0,0,0,,,,,,
20/07/2017,0,0,0,0,0,0,,,,,,
21/07/2017,0,0,0,0,0,0,,,,,,
22/07/2017,0,0,"0,48",0,0,0,,,,,,
23/07/2017,0,0,"1,44","0,48",0,0,,,,,,
24/07/2017,0,0,"0,48",0,0,0,,,,,,
25/07/2017,0,0,"3,36",0,0,0,,,,,,
26/07/2017,0,0,"1,44",0,0,0,,,,,,
27/07/2017,0,0,"2,4","0,96",0,0,,,,,,
28/07/2017,0,0,"2,4",0,0,0,,,,,,
29/07/2017,0,0,"3,36",0,0,0,,,,,,
30/07/2017,0,0,"1,44",0,0,0,,,,,,
31/07/2017,0,0,"2,4",0,0,0,,,,,,
01/08/2017,1,0,"6,72",0,0,0,,,,,,
02/08/2017,0,0,"1,44","0,48",0,0,,,,,,
03/08/2017,0,0,"3,84",0,0,0,,,,,,
04/08/2017,0,0,"1,92",0,0,0,,,,,,
05/08/2017,0,0,"3,36",0,0,0,,,,,,
06/08/2017,0,0,"9,12",0,0,0,,,,,,
07/08/2017,0,0,"2,88",0,0,0,,,,,,
