Data,Migraine,1 Betulaceae (1),2 Compositae (2),3 Corylaceae (3),4 Fagaceae (4),5 Gramineae,6 Oleaceae (5),7 Plantaginaceae,8 Urticaceae,9 Cupr./Taxaceae,10 Cheno-Amarantacee,11 Polygonaceae,12 Euphorbiaceae,13 Myrtaceae,14 Ulmaceae,15 Platanaceae,16 Aceraceae,17 Pinaceae (6),18 Salicaceae (7),19 Cyperaceae,20 Cannabaceae,21 Caprifoliaceae (8),22 Ericaceae,23 Ginkgoaceae,24 Hippocastanaceae,25 Juglandaceae,26 Juncaceae,27 Lauraceae,28 Leguminosae,29 Mimosaceae,30 Moraceae,31 Palmaceae,32 Papaveraceae,33 Saxifragaceae,34 Tiliaceae,35 Umbelliferae,36 Vitaceae,41 ALTRI (9),42 NON IDENTIF. (10),43 TOTALE POLLINI (11),44 Alnus,45 Betula,46 Ambrosia,47 Artemisia,48 Alternaria,49 Botrytis,50 Epicoccum,51 Corylus,52 Carpinus/Ostrya,53 Olea,54 Fraxinus excelsior/ornus,55 Cladosporium,56 Stemphylium,57 Torula,58 Helmintosporium,59 Pithomyces,60 Polytrincium,61 Agrocybe,62 Arthrinium,63 Chaetomium,64 Curvularia,65 Entomophthora,66 Oidium,67 Periconia,68 Peronospora,69 Pleospora,70 Puccinia,71 Castanea,72 Fagus,73 Quercus,74 Ligustrum,75 Larix,76 Populus,77 Salix,78 Sambucus,79 Ailanthus,80 Parietaria,81 Urtica membranacea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2017,0,"8,64",0,"5,76","35,52","0,96","4,32",0,0,0,0,"0,48",0,0,0,"2,88",0,0,"9,6",0,0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,"8,64","77,76",0,"8,64",0,0,0,0,0,0,"5,76",0,"4,32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"35,52",0,0,0,"9,6",0,0,0,0
04/04/2017,0,"22,08",0,"14,88","93,6","5,28","12,48",0,"2,88","10,08",0,"2,88",0,0,0,"29,28",0,0,"4,8",0,0,0,0,0,0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,"19,2","219,84",0,"22,08",0,0,0,0,0,0,"14,88",0,"12,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"93,6",0,0,0,"4,8",0,0,0,0
05/04/2017,0,"7,68","0,48","3,36","89,76","1,92","0,48",0,"1,92","1,92",0,0,0,0,0,"9,6",0,0,"1,92",0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,"5,28","124,8",0,"7,68",0,0,0,0,0,0,"3,36",0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,76",0,0,0,"1,92",0,0,0,0
06/04/2017,0,"7,68",0,"10,08","99,84","1,92",0,0,"1,92","0,48",0,"0,48",0,0,0,"8,16",0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,12","140,64",0,"7,68",0,0,0,0,0,0,"10,08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"99,84",0,0,0,"0,96",0,0,0,0
07/04/2017,0,"2,4",0,"4,32","36,48","5,28","2,4",0,"11,04",0,0,0,0,0,0,"9,6",0,"0,96",0,0,0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,"8,64","82,08",0,"2,4",0,0,0,0,0,0,"4,32",0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,48",0,0,0,0,0,0,0,0
